x,y
0.5,0.4736328125
0.5,0.4794921875
0.5,0.4814453125
0.5,0.4853515625
0.5,0.4970703125
0.5,0.521484375
0.5,0.505859375
0.5,0.5146484375
0.5,0.48828125
0.5,0.474609375
0.5,0.48046875
0.5,0.4853515625
0.5,0.484375
0.5,0.5419921875
0.5,0.5224609375
0.5,0.5322265625
0.5,0.4765625
0.5,0.484375
0.5,0.4765625
0.5,0.482421875
0.5,0.5126953125
0.5,0.5400390625
0.5,0.544921875
0.5,0.5458984375
0.5,0.498046875
0.5,0.4794921875
0.5,0.4833984375
0.5,0.46875
0.5,0.5361328125
0.5,0.5556640625
0.5,0.533203125
0.5,0.509765625
0.5,0.466796875
0.5,0.5029296875
0.5,0.50390625
0.5,0.4755859375
0.5,0.51953125
0.5,0.5419921875
0.5,0.53125
0.5,0.521484375
0.5,0.4716796875
0.5,0.4912109375
0.5,0.4638671875
0.5,0.4755859375
0.5,0.5009765625
0.5,0.5576171875
0.5,0.5224609375
0.5,0.521484375
0.5,0.4189453125
0.5,0.4765625
0.5,0.4765625
0.5,0.4716796875
0.5,0.5
0.5,0.5126953125
0.5,0.548828125
0.5,0.548828125
0.5,0.4658203125
0.5,0.482421875
0.5,0.4912109375
0.5,0.4892578125
0.5,0.49609375
0.5,0.525390625
0.5,0.552734375
0.5,0.5361328125
0.5,0.4541015625
0.5,0.482421875
0.5,0.4814453125
0.5,0.5107421875
0.5,0.5087890625
0.5,0.5244140625
0.5,0.5498046875
0.5,0.548828125
0.5,0.4912109375
0.5,0.47265625
0.5,0.482421875
0.5,0.498046875
0.5,0.51171875
0.5,0.51953125
0.5,0.5458984375
0.5,0.517578125
0.5,0.451171875
0.5,0.4697265625
0.5,0.509765625
0.5,0.498046875
0.5,0.5029296875
0.5,0.533203125
0.5,0.5390625
0.5,0.5224609375
0.5,0.4697265625
0.5,0.4931640625
0.5,0.4892578125
0.5,0.4755859375
0.5,0.50390625
0.5,0.53125
0.5,0.5185546875
0.5,0.5419921875
0.5,0.4541015625
0.5,0.509765625
0.5,0.501953125
0.5,0.4755859375
0.5,0.4931640625
0.5,0.5224609375
0.5,0.5302734375
0.5,0.546875
0.5,0.4580078125
0.5,0.4755859375
0.5,0.501953125
0.5,0.49609375
0.5,0.4931640625
0.5,0.5517578125
0.5,0.5478515625
0.5,0.544921875
0.5,0.4619140625
0.5,0.4921875
0.5,0.4921875
0.5,0.47265625
0.5,0.51953125
0.5,0.5263671875
0.5,0.5400390625
0.5,0.5400390625
0.5,0.4755859375
0.5,0.533203125
0.5,0.4775390625
0.5,0.4931640625
0.5,0.53125
0.5,0.5361328125
0.5,0.5380859375
0.5,0.552734375
0.5,0.4794921875
0.5,0.48828125
0.5,0.4912109375
0.5,0.48046875
0.5,0.5185546875
0.5,0.5234375
0.5,0.548828125
0.5,0.5244140625
0.5,0.484375
0.5,0.470703125
0.5,0.4677734375
0.5,0.517578125
0.5,0.515625
0.5,0.5478515625
0.5,0.51953125
0.5,0.5537109375
0.5,0.46875
0.5,0.5224609375
0.5,0.494140625
0.5,0.470703125
0.5,0.52734375
0.5,0.521484375
0.5,0.53515625
0.5,0.5458984375
0.5,0.4677734375
0.5,0.4912109375
0.5,0.46875
0.5,0.478515625
0.5,0.50390625
0.5,0.52734375
0.5,0.548828125
0.5,0.5283203125
0.5,0.4736328125
0.5,0.4814453125
0.5,0.484375
0.5,0.5068359375
0.5,0.49609375
0.5,0.5400390625
0.5,0.50390625
0.5,0.560546875
0.5,0.4443359375
0.5,0.4775390625
0.5,0.513671875
0.5,0.470703125
0.5,0.529296875
0.5,0.5283203125
0.5,0.5673828125
0.5,0.546875
0.5,0.4765625
0.5,0.484375
0.5,0.498046875
0.5,0.501953125
0.5,0.51171875
0.5,0.5322265625
0.5,0.5234375
0.5,0.5029296875
0.5,0.462890625
0.5,0.4853515625
0.5,0.4833984375
0.5,0.4921875
0.5,0.494140625
0.5,0.5390625
0.5,0.51171875
0.5,0.529296875
0.5,0.470703125
0.5,0.505859375
0.5,0.4892578125
0.5,0.49609375
0.5,0.501953125
0.5,0.5185546875
0.5,0.5341796875
0.5,0.5361328125
0.5,0.4736328125
0.5,0.4765625
0.5,0.48046875
0.5,0.45703125
0.5,0.5087890625
0.5,0.5380859375
0.5,0.5517578125
0.5,0.525390625
0.5,0.4765625
0.5,0.48046875
0.5,0.478515625
0.5,0.5126953125
0.5,0.49609375
0.5,0.5361328125
0.5,0.5361328125
0.5,0.5634765625
0.5,0.447265625
0.5,0.5224609375
0.5,0.4892578125
0.5,0.4765625
0.5,0.5166015625
0.5,0.5341796875
0.5,0.5205078125
0.5,0.5146484375
0.5,0.4736328125
0.5,0.5234375
0.5,0.4931640625
0.5,0.490234375
0.5,0.4921875
0.5,0.5546875
0.5,0.5322265625
0.5,0.5283203125
0.5,0.443359375
0.5,0.4951171875
0.5,0.484375
0.5,0.4658203125
0.5,0.5185546875
0.5,0.5166015625
0.5,0.52734375
0.5,0.5107421875
0.5,0.4765625
0.5,0.482421875
0.5,0.498046875
0.5,0.4853515625
0.5,0.5283203125
0.5,0.5341796875
0.5,0.5419921875
0.5,0.517578125
0.5,0.45703125
0.5,0.49609375
0.5,0.474609375
0.5,0.4892578125
0.5,0.505859375
0.5,0.55078125
0.5,0.5478515625
0.5,0.51953125
