x,y
0.5,0.568359375
0.5,0.525390625
0.5,0.568359375
0.5,0.546875
0.5,0.58984375
0.5,0.556640625
0.5,0.5859375
0.5,0.560546875
0.5,0.587890625
0.5,0.5703125
0.5,0.59375
0.5,0.548828125
0.5,0.548828125
0.5,0.5595703125
0.5,0.572265625
0.5,0.583984375
0.5,0.5849609375
0.5,0.55859375
0.5,0.560546875
0.5,0.5732421875
0.5,0.5693359375
0.5,0.580078125
0.5,0.5654296875
0.5,0.533203125
0.5,0.5732421875
0.5,0.5693359375
0.5,0.5556640625
0.5,0.56640625
0.5,0.572265625
0.5,0.5859375
0.5,0.5576171875
0.5,0.5693359375
0.5,0.591796875
0.5,0.5439453125
0.5,0.572265625
0.5,0.568359375
0.5,0.54296875
0.5,0.556640625
0.5,0.5732421875
0.5,0.5390625
0.5,0.552734375
0.5,0.5966796875
0.5,0.5654296875
0.5,0.568359375
0.5,0.548828125
0.5,0.544921875
0.5,0.55859375
0.5,0.5498046875
0.5,0.6044921875
0.5,0.5712890625
0.5,0.5625
0.5,0.58203125
0.5,0.58203125
0.5,0.578125
0.5,0.572265625
0.5,0.529296875
0.5,0.5556640625
0.5,0.560546875
0.5,0.5830078125
0.5,0.572265625
0.5,0.57421875
0.5,0.56640625
0.5,0.57421875
0.5,0.54296875
0.5,0.58203125
0.5,0.560546875
0.5,0.5546875
0.5,0.5283203125
0.5,0.587890625
0.5,0.5625
0.5,0.572265625
0.5,0.5419921875
0.5,0.572265625
0.5,0.5625
0.5,0.5634765625
0.5,0.5712890625
0.5,0.572265625
0.5,0.5576171875
0.5,0.576171875
0.5,0.5498046875
0.5,0.56640625
0.5,0.5693359375
0.5,0.591796875
0.5,0.5458984375
0.5,0.55859375
0.5,0.5478515625
0.5,0.564453125
0.5,0.5556640625
0.5,0.5576171875
0.5,0.56640625
0.5,0.5849609375
0.5,0.595703125
0.5,0.564453125
0.5,0.55859375
0.5,0.5498046875
0.5,0.5654296875
0.5,0.5830078125
0.5,0.5791015625
0.5,0.5625
0.5,0.5849609375
0.5,0.55078125
0.5,0.5537109375
0.5,0.5556640625
0.5,0.55859375
0.5,0.580078125
0.5,0.599609375
0.5,0.5859375
0.5,0.54296875
0.5,0.5595703125
0.5,0.556640625
0.5,0.5869140625
0.5,0.5537109375
0.5,0.5458984375
0.5,0.583984375
0.5,0.564453125
0.5,0.564453125
0.5,0.5693359375
0.5,0.5625
0.5,0.5693359375
0.5,0.53125
0.5,0.6064453125
0.5,0.57421875
0.5,0.5771484375
0.5,0.5517578125
0.5,0.576171875
0.5,0.560546875
0.5,0.529296875
0.5,0.5859375
