x,y
0.5,0.41796875
0.5,0.439453125
0.5,0.416015625
0.5,0.4404296875
0.5,0.453125
0.5,0.4580078125
0.5,0.447265625
0.5,0.41796875
0.5,0.470703125
0.5,0.4375
0.5,0.4248046875
0.5,0.4560546875
0.5,0.4423828125
0.5,0.4404296875
0.5,0.423828125
0.5,0.439453125
0.5,0.4423828125
0.5,0.4619140625
0.5,0.443359375
0.5,0.43359375
0.5,0.421875
0.5,0.455078125
0.5,0.4453125
0.5,0.4521484375
0.5,0.4404296875
0.5,0.4443359375
0.5,0.453125
0.5,0.4423828125
0.5,0.4287109375
0.5,0.443359375
0.5,0.453125
0.5,0.4697265625
0.5,0.4599609375
0.5,0.427734375
0.5,0.4443359375
0.5,0.423828125
0.5,0.4208984375
0.5,0.4501953125
0.5,0.4541015625
0.5,0.44921875
0.5,0.4228515625
0.5,0.4423828125
0.5,0.443359375
0.5,0.4306640625
0.5,0.4453125
0.5,0.4248046875
0.5,0.4296875
0.5,0.435546875
0.5,0.447265625
0.5,0.4560546875
0.5,0.4404296875
0.5,0.4208984375
0.5,0.451171875
0.5,0.4326171875
0.5,0.423828125
0.5,0.439453125
0.5,0.45703125
0.5,0.4150390625
0.5,0.451171875
0.5,0.427734375
0.5,0.427734375
0.5,0.4375
0.5,0.4423828125
0.5,0.4443359375
0.5,0.4208984375
0.5,0.44921875
0.5,0.4296875
0.5,0.443359375
0.5,0.431640625
0.5,0.4384765625
0.5,0.4384765625
0.5,0.4111328125
0.5,0.423828125
0.5,0.4287109375
0.5,0.4580078125
0.5,0.4375
0.5,0.4580078125
0.5,0.4404296875
0.5,0.4228515625
0.5,0.435546875
0.5,0.4423828125
0.5,0.4287109375
0.5,0.427734375
0.5,0.4140625
0.5,0.42578125
0.5,0.4150390625
0.5,0.4169921875
0.5,0.451171875
0.5,0.4560546875
0.5,0.443359375
0.5,0.45703125
0.5,0.455078125
0.5,0.46484375
0.5,0.4365234375
0.5,0.4521484375
0.5,0.4599609375
0.5,0.447265625
0.5,0.4423828125
0.5,0.4541015625
0.5,0.4423828125
0.5,0.447265625
0.5,0.4169921875
0.5,0.4599609375
0.5,0.4423828125
0.5,0.421875
0.5,0.412109375
0.5,0.435546875
0.5,0.4443359375
0.5,0.4404296875
0.5,0.4150390625
0.5,0.4169921875
0.5,0.42578125
0.5,0.4248046875
0.5,0.4287109375
0.5,0.45703125
0.5,0.45703125
0.5,0.44921875
0.5,0.466796875
0.5,0.44140625
0.5,0.484375
0.5,0.4228515625
0.5,0.439453125
0.5,0.4130859375
0.5,0.451171875
0.5,0.423828125
0.5,0.4013671875
0.5,0.4541015625
0.5,0.4453125
