x,y
0.5,0.5
0.5,0.50390625
0.5,0.5400390625
0.5,0.5302734375
0.5,0.5234375
0.5,0.5302734375
0.5,0.509765625
0.5,0.49609375
0.5,0.5283203125
0.5,0.51171875
0.5,0.521484375
0.5,0.513671875
0.5,0.4765625
0.5,0.5400390625
0.5,0.52734375
0.5,0.546875
0.5,0.5322265625
0.5,0.5107421875
0.5,0.5126953125
0.5,0.5048828125
0.5,0.5166015625
0.5,0.49609375
0.5,0.51171875
0.5,0.5224609375
0.5,0.53125
0.5,0.5283203125
0.5,0.546875
0.5,0.53125
0.5,0.52734375
0.5,0.5380859375
0.5,0.51171875
0.5,0.498046875
0.5,0.5107421875
0.5,0.5224609375
0.5,0.544921875
0.5,0.5185546875
0.5,0.5166015625
0.5,0.484375
0.5,0.5009765625
0.5,0.517578125
0.5,0.50390625
0.5,0.5107421875
0.5,0.498046875
0.5,0.5087890625
0.5,0.5166015625
0.5,0.51171875
0.5,0.5263671875
0.5,0.517578125
0.5,0.541015625
0.5,0.533203125
0.5,0.5078125
0.5,0.50390625
0.5,0.4990234375
0.5,0.52734375
0.5,0.5107421875
0.5,0.5224609375
0.5,0.50390625
0.5,0.56640625
0.5,0.513671875
0.5,0.521484375
0.5,0.505859375
0.5,0.529296875
0.5,0.5166015625
0.5,0.5078125
0.5,0.50390625
0.5,0.5224609375
0.5,0.5205078125
0.5,0.5087890625
0.5,0.5205078125
0.5,0.51953125
0.5,0.5009765625
0.5,0.5185546875
0.5,0.51953125
0.5,0.5322265625
0.5,0.5380859375
0.5,0.505859375
0.5,0.5126953125
0.5,0.5048828125
0.5,0.50390625
0.5,0.5107421875
0.5,0.5244140625
0.5,0.517578125
0.5,0.4912109375
0.5,0.5029296875
0.5,0.5205078125
0.5,0.5283203125
0.5,0.4912109375
0.5,0.5234375
0.5,0.5361328125
0.5,0.513671875
0.5,0.5078125
0.5,0.5224609375
0.5,0.513671875
0.5,0.529296875
0.5,0.515625
0.5,0.5205078125
0.5,0.4951171875
0.5,0.5224609375
0.5,0.5146484375
0.5,0.50390625
0.5,0.5322265625
0.5,0.5029296875
0.5,0.5302734375
0.5,0.544921875
0.5,0.5224609375
0.5,0.4970703125
0.5,0.4814453125
0.5,0.5205078125
0.5,0.525390625
0.5,0.533203125
0.5,0.51171875
0.5,0.533203125
0.5,0.525390625
0.5,0.54296875
0.5,0.498046875
0.5,0.5166015625
0.5,0.49609375
0.5,0.5283203125
0.5,0.513671875
0.5,0.53125
0.5,0.5361328125
0.5,0.52734375
0.5,0.498046875
0.5,0.5341796875
0.5,0.5205078125
0.5,0.5244140625
0.5,0.5068359375
0.5,0.5400390625
